Name,Mid1,Mid2,EndSem,Attendance,FinancialCondition,MaritalStatus,FatherQualification,MotherQualification,MotherJobRole,FatherJobRole,Stream,CourseName,Dropout_Risk,RiskLevel
Pari Reddy,56,50,54,72,Medium,Single,Primary,Primary,Laborer,Clerk,Biotech,B.Sc,0.35,Low
Anika Bose,47,28,73,82,Medium,Married,Graduate,No formal education,Laborer,Clerk,Civil,MBA,0.35,Low
Saanvi Kapoor,22,93,68,91,Low,Married,Secondary,Graduate,Clerk,Laborer,Civil,B.Sc,0.3,Low
Ananya Reddy,54,75,82,33,Medium,Married,Graduate,Primary,Teacher,Manager,Electrical,MBA,0.55,Medium
Ananya Iyer,23,70,95,33,Low,Married,Primary,Graduate,Unemployed,Teacher,Mechanical,BA,0.65,Medium
Shreya Das,61,47,78,71,Medium,Married,Secondary,Graduate,Farmer,Engineer,Civil,B.Tech,0.2,Low
Aditya Das,89,26,64,58,High,Single,No formal education,No formal education,Clerk,Clerk,IT,B.Tech,0.4,Low
Ishaan Sharma,99,39,50,46,Medium,Single,Postgraduate,Primary,Engineer,Manager,IT,B.Com,0.55,Medium
Priya Mishra,41,97,97,44,Low,Married,No formal education,Postgraduate,Engineer,Unemployed,Electrical,M.Tech,0.65,Medium
Reyansh Agarwal,68,70,45,39,High,Single,No formal education,Secondary,Unemployed,Farmer,Mechanical,MBA,0.45,Medium
Aditya Singh,74,67,28,94,High,Married,No formal education,Graduate,Farmer,Manager,Civil,B.Com,0.25,Low
Vihaan Bose,78,39,75,52,High,Married,Postgraduate,Postgraduate,Manager,Manager,Civil,M.Tech,0.25,Low
Priya Bose,95,54,61,61,Low,Married,Graduate,Primary,Laborer,Manager,Mechanical,B.Tech,0.45,Medium
Krishna Kapoor,83,61,43,92,Low,Married,Secondary,Secondary,Engineer,Engineer,Electrical,B.Tech,0.3,Low
Krishna Chopra,86,44,30,60,High,Married,Graduate,Postgraduate,Manager,Clerk,Biotech,M.Tech,0.4,Low
Reyansh Chopra,82,77,22,41,Medium,Single,Graduate,Primary,Business,Engineer,Civil,MBA,0.55,Medium
Aarav Iyer,87,64,74,100,Medium,Married,Graduate,Secondary,Engineer,Engineer,ECE,B.Tech,0.2,Low
Vihaan Agarwal,44,60,35,98,High,Single,Primary,Primary,Engineer,Manager,Biotech,MBA,0.25,Low
Siddharth Sharma,87,96,56,42,Low,Married,Primary,Secondary,Engineer,Teacher,CSE,M.Tech,0.65,Medium
Sai Yadav,88,36,55,35,Low,Married,Primary,Graduate,Unemployed,Farmer,Electrical,B.Com,0.8,High
Saanvi Rao,80,81,76,73,Low,Single,Secondary,Graduate,Farmer,Farmer,Civil,BA,0.3,Low
Saanvi Mehta,29,93,100,36,Low,Single,Postgraduate,Secondary,Clerk,Farmer,CSE,MBA,0.65,Medium
Swati Menon,73,97,96,58,High,Married,Graduate,Graduate,Laborer,Engineer,Mechanical,MBA,0.25,Low
Myra Das,99,27,98,42,Low,Single,Secondary,No formal education,Clerk,Teacher,ECE,MBA,0.65,Medium
Anika Patel,29,40,20,82,Medium,Married,Secondary,No formal education,Engineer,Clerk,Biotech,B.Com,0.55,Medium
Diya Mehta,78,29,49,63,High,Single,Graduate,No formal education,Teacher,Clerk,Mechanical,B.Sc,0.4,Low
Rakesh Chopra,29,27,41,69,High,Married,Graduate,No formal education,Engineer,Manager,Biotech,BA,0.45,Medium
Suresh Gupta,54,84,89,93,Medium,Single,Postgraduate,No formal education,Business,Laborer,Electrical,B.Com,0.2,Low
Rahul Singh,23,31,49,32,High,Married,Postgraduate,No formal education,Manager,Teacher,Electrical,M.Tech,0.8,High
Myra Bose,76,55,43,85,High,Married,No formal education,Graduate,Laborer,Business,Mechanical,B.Com,0.25,Low
Diya Chopra,33,40,62,82,High,Married,Secondary,Graduate,Manager,Unemployed,CSE,B.Com,0.25,Low
Karan Kumar,52,61,34,81,High,Single,Postgraduate,Graduate,Unemployed,Laborer,ECE,MBA,0.25,Low
Swati Menon,66,99,83,86,Low,Single,Secondary,Postgraduate,Engineer,Teacher,Civil,M.Tech,0.3,Low
Aarav Chopra,82,35,23,60,High,Single,Secondary,Postgraduate,Laborer,Unemployed,CSE,B.Sc,0.4,Low
Ishaan Singh,34,79,35,49,Medium,Married,Postgraduate,Secondary,Manager,Laborer,Civil,B.Sc,0.7000000000000001,High
Vivaan Agarwal,78,90,38,79,Low,Single,No formal education,Secondary,Business,Laborer,IT,MBA,0.3,Low
Sai Nair,54,20,56,68,High,Married,Primary,Graduate,Business,Manager,Mechanical,MBA,0.25,Low
Prisha Singh,89,68,78,71,Low,Single,Postgraduate,Graduate,Laborer,Clerk,CSE,B.Com,0.3,Low
Ishaan Iyer,80,68,69,49,Medium,Single,Primary,Postgraduate,Farmer,Business,IT,BA,0.55,Medium
Ira Bose,32,87,78,31,High,Single,Graduate,Primary,Manager,Farmer,IT,B.Com,0.45,Medium
Akash Mishra,63,99,70,40,Medium,Married,Secondary,Graduate,Farmer,Unemployed,ECE,M.Tech,0.55,Medium
Karan Mehta,56,49,31,85,Low,Single,Graduate,Primary,Unemployed,Engineer,CSE,B.Com,0.45,Medium
Suresh Das,27,57,65,77,Medium,Single,Primary,Postgraduate,Teacher,Laborer,ECE,B.Sc,0.35,Low
Kritika Mehta,30,98,68,60,Medium,Single,Primary,Graduate,Manager,Engineer,Mechanical,M.Tech,0.35,Low
Vivaan Bose,21,79,56,99,Low,Single,Graduate,Secondary,Laborer,Engineer,Biotech,B.Com,0.45,Medium
Reyansh Agarwal,78,58,45,79,Medium,Single,Primary,Graduate,Engineer,Business,Biotech,B.Com,0.2,Low
Shreya Reddy,22,70,55,31,High,Single,Postgraduate,Graduate,Clerk,Engineer,Electrical,B.Com,0.6000000000000001,Medium
Ananya Gupta,48,44,99,62,High,Single,No formal education,No formal education,Manager,Engineer,CSE,MBA,0.25,Low
Kiara Menon,66,36,31,67,Medium,Married,Primary,Primary,Business,Teacher,Electrical,MBA,0.35,Low
Manish Reddy,54,41,52,91,Medium,Married,No formal education,Graduate,Teacher,Farmer,IT,B.Sc,0.35,Low
Anika Mehta,70,91,66,41,Medium,Single,Secondary,Postgraduate,Manager,Farmer,Mechanical,M.Tech,0.55,Medium
Riya Verma,53,94,68,77,Low,Single,Graduate,No formal education,Clerk,Business,Biotech,B.Tech,0.3,Low
Swati Rao,79,58,72,44,Low,Single,No formal education,Secondary,Farmer,Manager,CSE,B.Sc,0.65,Medium
Aarav Mehta,88,37,69,88,Medium,Married,Postgraduate,Primary,Farmer,Laborer,IT,BA,0.2,Low
Aarav Malhotra,98,72,55,34,High,Married,Primary,Graduate,Clerk,Manager,IT,B.Com,0.45,Medium
Amit Bose,32,67,89,75,Low,Married,Secondary,Primary,Manager,Farmer,CSE,M.Tech,0.3,Low
Aarav Malhotra,47,96,22,36,Medium,Single,Primary,Postgraduate,Farmer,Clerk,IT,MBA,0.7000000000000001,High
Vikas Yadav,46,95,47,59,Medium,Single,Postgraduate,No formal education,Teacher,Engineer,ECE,MBA,0.35,Low
Siddharth Reddy,52,42,34,33,Low,Single,Secondary,Primary,Unemployed,Business,ECE,B.Com,0.8,High
Rahul Malhotra,26,36,73,97,Low,Single,Graduate,Graduate,Farmer,Business,Civil,MBA,0.45,Medium
Arjun Patel,48,98,25,96,Medium,Married,No formal education,No formal education,Laborer,Manager,Civil,M.Tech,0.35,Low
Neha Kapoor,33,82,76,39,Low,Married,Postgraduate,Primary,Teacher,Farmer,Mechanical,MBA,0.65,Medium
Aadhya Yadav,94,90,61,78,High,Married,Graduate,Postgraduate,Farmer,Laborer,IT,M.Tech,0.1,Low
Krishna Nair,34,90,47,85,Medium,Single,Graduate,Secondary,Laborer,Manager,Civil,M.Tech,0.35,Low
Vihaan Gupta,32,60,74,70,High,Married,Secondary,Primary,Farmer,Manager,CSE,B.Tech,0.25,Low
Siddharth Kumar,31,75,32,77,Low,Single,Postgraduate,Postgraduate,Farmer,Business,Civil,B.Com,0.45,Medium
Ira Rao,74,26,56,69,Medium,Single,Postgraduate,Postgraduate,Teacher,Clerk,Biotech,BA,0.35,Low
Swati Rao,48,33,64,77,Low,Married,Postgraduate,Primary,Unemployed,Laborer,Electrical,M.Tech,0.45,Medium
Aarav Agarwal,54,23,43,64,High,Married,Secondary,Secondary,Teacher,Unemployed,IT,B.Sc,0.4,Low
Manish Verma,92,71,28,48,High,Single,No formal education,Postgraduate,Laborer,Clerk,Civil,BA,0.45,Medium
Kiara Yadav,63,40,67,69,High,Married,Postgraduate,Postgraduate,Unemployed,Farmer,ECE,B.Sc,0.25,Low
Amit Rao,99,26,30,64,Medium,Married,Graduate,Postgraduate,Laborer,Manager,Mechanical,B.Sc,0.5,Medium
Siddharth Agarwal,85,34,64,85,Low,Married,Postgraduate,Graduate,Unemployed,Engineer,ECE,BA,0.3,Low
Amit Mehta,96,27,20,56,Medium,Single,Primary,Secondary,Business,Engineer,CSE,B.Tech,0.5,Medium
Varun Kumar,83,75,42,46,Medium,Single,Postgraduate,Postgraduate,Farmer,Business,Civil,M.Tech,0.55,Medium
Amit Patel,25,75,22,88,Low,Married,Postgraduate,Graduate,Laborer,Laborer,Mechanical,B.Tech,0.45,Medium
Pooja Gupta,71,22,61,51,High,Married,Secondary,No formal education,Farmer,Laborer,ECE,BA,0.4,Low
Aditya Reddy,95,71,87,40,Medium,Married,Secondary,Primary,Teacher,Business,CSE,MBA,0.55,Medium
Rahul Yadav,34,87,85,54,Medium,Married,Primary,Primary,Teacher,Farmer,Mechanical,B.Sc,0.35,Low
Ira Yadav,42,97,39,39,Low,Married,Graduate,Postgraduate,Business,Manager,IT,M.Tech,0.8,High
Vivaan Sharma,60,39,76,38,Medium,Married,Secondary,Secondary,Business,Unemployed,Electrical,B.Tech,0.7000000000000001,High
Pari Mehta,59,79,77,34,Low,Married,Secondary,No formal education,Laborer,Farmer,Civil,MBA,0.65,Medium
Karan Menon,90,25,77,54,Medium,Married,Postgraduate,Primary,Manager,Unemployed,CSE,B.Com,0.35,Low
Anjali Das,30,84,42,35,Low,Married,Graduate,Postgraduate,Business,Teacher,Mechanical,B.Com,0.8,High
Saanvi Nair,69,72,63,36,High,Married,No formal education,Secondary,Laborer,Farmer,Mechanical,B.Com,0.45,Medium
Anika Patel,97,39,62,40,High,Single,Secondary,Secondary,Teacher,Laborer,Electrical,M.Tech,0.45,Medium
Pari Yadav,30,59,91,78,High,Married,Primary,Postgraduate,Laborer,Farmer,Electrical,B.Com,0.1,Low
Arjun Reddy,22,66,59,53,Low,Married,Graduate,Primary,Teacher,Clerk,ECE,B.Tech,0.6000000000000001,Medium
Siddharth Patel,57,32,84,99,High,Single,Secondary,Postgraduate,Laborer,Teacher,ECE,B.Sc,0.25,Low
Swati Das,43,99,41,86,Low,Married,Secondary,Primary,Engineer,Manager,IT,M.Tech,0.3,Low
Kritika Yadav,77,49,88,60,Medium,Married,Primary,Secondary,Manager,Manager,IT,B.Com,0.35,Low
Priya Chopra,68,84,87,83,Low,Single,Postgraduate,Primary,Unemployed,Engineer,Biotech,BA,0.3,Low
Riya Chopra,67,90,33,96,Low,Married,No formal education,Primary,Manager,Engineer,Electrical,B.Sc,0.3,Low
Ananya Gupta,75,31,48,87,Medium,Single,Graduate,No formal education,Business,Laborer,ECE,BA,0.35,Low
Rakesh Das,30,67,48,33,Medium,Single,Secondary,Primary,Unemployed,Teacher,Mechanical,BA,0.7000000000000001,High
Pari Patel,37,80,77,30,Low,Single,Secondary,Primary,Laborer,Teacher,CSE,B.Com,0.65,Medium
Varun Chopra,50,58,35,36,Low,Married,Postgraduate,Graduate,Farmer,Farmer,IT,BA,0.8,High
Aadhya Sharma,96,88,22,95,High,Single,Primary,Secondary,Unemployed,Laborer,Electrical,B.Com,0.1,Low
Meera Malhotra,50,93,73,53,High,Single,Postgraduate,Secondary,Unemployed,Farmer,Civil,BA,0.25,Low
Vivaan Kumar,25,69,67,62,High,Single,Secondary,No formal education,Clerk,Business,Biotech,M.Tech,0.4,Low
Kiara Bose,100,33,94,72,Low,Single,Secondary,Postgraduate,Teacher,Business,IT,M.Tech,0.3,Low
Krishna Yadav,79,81,100,53,Low,Single,Graduate,No formal education,Clerk,Engineer,CSE,B.Sc,0.45,Medium
Arjun Iyer,25,60,59,95,Medium,Married,Secondary,No formal education,Engineer,Clerk,Mechanical,B.Tech,0.35,Low
Manish Kapoor,62,54,35,77,Medium,Married,Graduate,Graduate,Teacher,Business,Civil,M.Tech,0.35,Low
Pari Menon,83,67,86,64,Low,Married,No formal education,Graduate,Engineer,Teacher,Mechanical,B.Tech,0.45,Medium
Vikas Rao,30,61,57,69,Medium,Married,Primary,Graduate,Manager,Business,CSE,M.Tech,0.35,Low
Sai Kumar,65,98,75,65,High,Single,No formal education,Graduate,Teacher,Business,CSE,B.Sc,0.1,Low
Akash Chopra,97,76,24,46,Low,Single,Secondary,Secondary,Unemployed,Laborer,Electrical,B.Sc,0.65,Medium
Rakesh Kumar,77,67,67,86,Low,Single,Postgraduate,Secondary,Business,Laborer,Biotech,B.Com,0.3,Low
Karan Patel,51,34,23,53,Medium,Married,Postgraduate,No formal education,Engineer,Engineer,Biotech,BA,0.7000000000000001,High
Kiara Kapoor,47,98,56,92,Low,Single,Primary,No formal education,Teacher,Manager,Biotech,BA,0.3,Low
Ananya Mehta,31,60,64,38,High,Married,Secondary,Primary,Business,Teacher,Electrical,B.Sc,0.6000000000000001,Medium
Kritika Gupta,35,45,37,60,Medium,Single,Secondary,Postgraduate,Manager,Business,IT,MBA,0.7000000000000001,High
Aadhya Gupta,36,98,31,38,Medium,Married,Graduate,Postgraduate,Laborer,Laborer,IT,MBA,0.7000000000000001,High
Rahul Kumar,29,36,60,39,Medium,Married,Postgraduate,Secondary,Teacher,Teacher,IT,B.Sc,0.7000000000000001,High
Kiara Mishra,75,84,27,45,High,Single,Secondary,Primary,Business,Teacher,Biotech,B.Sc,0.45,Medium
Rahul Mehta,64,86,56,40,Medium,Single,Postgraduate,Secondary,Engineer,Teacher,Electrical,MBA,0.55,Medium
Swati Nair,31,84,41,49,Low,Married,Postgraduate,No formal education,Farmer,Unemployed,CSE,M.Tech,0.8,High
Priya Bose,93,53,46,83,High,Single,Graduate,Postgraduate,Engineer,Engineer,Civil,B.Sc,0.1,Low
Aadhya Singh,71,58,78,39,High,Single,Primary,Graduate,Manager,Laborer,Civil,B.Sc,0.45,Medium
Swati Das,63,97,38,70,High,Married,Secondary,Graduate,Business,Teacher,Electrical,MBA,0.1,Low
Siddharth Nair,33,60,50,89,Low,Married,Graduate,Primary,Farmer,Teacher,CSE,B.Com,0.45,Medium
Amit Kapoor,69,98,73,61,Low,Married,Postgraduate,Secondary,Teacher,Clerk,Civil,MBA,0.45,Medium
Shreya Yadav,79,83,59,93,Low,Single,Graduate,Postgraduate,Clerk,Manager,ECE,MBA,0.3,Low
Myra Iyer,65,26,26,66,Medium,Married,Secondary,Postgraduate,Farmer,Unemployed,Civil,B.Sc,0.55,Medium
Diya Reddy,53,66,71,76,Low,Married,No formal education,Postgraduate,Business,Clerk,Electrical,B.Com,0.3,Low
Swati Rao,29,69,84,87,High,Married,Postgraduate,Postgraduate,Teacher,Farmer,CSE,BA,0.1,Low
Aarav Menon,67,63,91,76,Low,Single,Postgraduate,Postgraduate,Unemployed,Laborer,CSE,B.Tech,0.3,Low
Prisha Sharma,37,62,80,96,Medium,Single,Postgraduate,Postgraduate,Business,Teacher,Electrical,B.Com,0.35,Low
Vikas Chopra,40,70,98,68,High,Married,Postgraduate,Postgraduate,Engineer,Manager,Civil,B.Tech,0.1,Low
Sai Gupta,67,62,34,83,High,Married,No formal education,Postgraduate,Engineer,Manager,Biotech,MBA,0.25,Low
Pari Patel,93,49,26,91,Low,Married,Primary,Primary,Farmer,Unemployed,ECE,B.Tech,0.45,Medium
Rahul Singh,76,60,73,49,Medium,Single,Graduate,Postgraduate,Unemployed,Manager,Biotech,B.Sc,0.55,Medium
Aditya Gupta,86,46,91,71,High,Married,Postgraduate,Graduate,Teacher,Business,Civil,MBA,0.1,Low
Kiara Singh,63,89,65,63,High,Married,Primary,Primary,Engineer,Engineer,ECE,B.Com,0.25,Low
Amit Mishra,56,46,82,70,Medium,Married,Postgraduate,Secondary,Farmer,Engineer,Electrical,M.Tech,0.2,Low
Aadhya Sharma,89,68,70,74,Low,Married,No formal education,Secondary,Business,Farmer,Civil,M.Tech,0.3,Low
Suresh Kapoor,52,81,47,55,High,Married,Postgraduate,Secondary,Farmer,Teacher,Electrical,M.Tech,0.25,Low
Aarav Reddy,95,50,51,36,High,Single,Primary,No formal education,Laborer,Farmer,Mechanical,M.Tech,0.45,Medium
Akash Kumar,80,32,37,30,High,Single,Graduate,Graduate,Clerk,Manager,IT,B.Com,0.6000000000000001,Medium
Rohan Rao,61,56,27,41,High,Single,Postgraduate,No formal education,Laborer,Teacher,IT,B.Sc,0.6000000000000001,Medium
Vivaan Kumar,24,70,83,53,High,Married,No formal education,No formal education,Farmer,Engineer,Mechanical,B.Com,0.4,Low
Saanvi Bose,78,89,87,93,Low,Married,Secondary,Primary,Business,Farmer,ECE,M.Tech,0.3,Low
Krishna Singh,78,52,43,31,High,Married,Secondary,Postgraduate,Teacher,Clerk,Electrical,M.Tech,0.6000000000000001,Medium
Reyansh Sharma,71,74,85,71,Low,Married,No formal education,Primary,Manager,Teacher,Mechanical,B.Sc,0.3,Low
Siddharth Gupta,20,53,69,60,Medium,Married,Secondary,Secondary,Engineer,Unemployed,Biotech,B.Com,0.5,Medium
Manish Malhotra,50,27,35,89,Medium,Single,Graduate,Postgraduate,Farmer,Engineer,Biotech,B.Com,0.55,Medium
Akash Kumar,67,98,48,58,Low,Married,Primary,Graduate,Laborer,Business,Biotech,MBA,0.45,Medium
Rakesh Chopra,80,88,47,61,High,Single,Postgraduate,Graduate,Farmer,Business,Electrical,B.Tech,0.25,Low
Ananya Nair,27,90,84,55,High,Single,Primary,Secondary,Farmer,Manager,Biotech,B.Sc,0.25,Low
Rohan Patel,94,82,31,95,Medium,Single,Graduate,Primary,Manager,Laborer,Electrical,B.Tech,0.2,Low
Diya Menon,91,79,59,32,Medium,Married,No formal education,Primary,Unemployed,Farmer,Civil,B.Com,0.55,Medium
Anika Kapoor,28,89,27,38,Medium,Single,Secondary,Graduate,Teacher,Teacher,IT,M.Tech,0.7000000000000001,High
Prisha Kumar,73,67,68,87,Medium,Married,No formal education,Postgraduate,Business,Teacher,CSE,B.Sc,0.2,Low
Manish Rao,88,70,87,46,High,Single,No formal education,No formal education,Manager,Engineer,Biotech,M.Tech,0.45,Medium
Rakesh Mishra,89,74,88,78,Low,Single,Graduate,Secondary,Engineer,Teacher,ECE,M.Tech,0.3,Low
Neha Malhotra,34,24,73,32,Low,Single,No formal education,No formal education,Manager,Unemployed,Electrical,M.Tech,0.8,High
Vikas Rao,26,51,25,81,Medium,Single,Postgraduate,Primary,Teacher,Unemployed,Electrical,B.Com,0.55,Medium
Kiara Menon,49,93,60,71,Low,Married,Primary,Postgraduate,Laborer,Clerk,Mechanical,B.Com,0.3,Low
Neha Mehta,27,91,95,52,High,Married,Postgraduate,Graduate,Business,Unemployed,Biotech,M.Tech,0.25,Low
Manish Malhotra,68,87,60,83,Medium,Single,Secondary,Graduate,Manager,Teacher,ECE,B.Sc,0.2,Low
Kritika Das,58,38,79,37,High,Married,Graduate,Postgraduate,Laborer,Teacher,ECE,B.Com,0.6000000000000001,Medium
Pari Sharma,46,62,30,87,Medium,Single,Postgraduate,Primary,Engineer,Unemployed,Civil,M.Tech,0.35,Low
Sai Yadav,97,97,25,39,Low,Single,Graduate,Primary,Engineer,Business,CSE,B.Sc,0.65,Medium
Aadhya Yadav,44,35,81,61,High,Single,Graduate,Primary,Engineer,Business,Civil,BA,0.4,Low
Ishaan Rao,88,65,59,63,Medium,Married,Graduate,No formal education,Business,Manager,ECE,B.Com,0.35,Low
Priya Agarwal,60,72,25,58,High,Single,No formal education,Secondary,Engineer,Laborer,ECE,B.Sc,0.4,Low
Shreya Gupta,62,49,68,61,Medium,Married,Secondary,Graduate,Manager,Manager,ECE,M.Tech,0.5,Medium
Reyansh Nair,65,41,37,99,Medium,Single,Postgraduate,No formal education,Farmer,Unemployed,IT,M.Tech,0.35,Low
Aarav Mehta,26,20,72,47,High,Single,No formal education,Primary,Clerk,Unemployed,Electrical,BA,0.8,High
Rakesh Rao,67,27,99,91,High,Married,No formal education,No formal education,Unemployed,Laborer,CSE,MBA,0.1,Low
Krishna Malhotra,55,88,56,32,High,Married,Primary,No formal education,Teacher,Farmer,ECE,B.Sc,0.45,Medium
Anjali Menon,99,87,52,75,Medium,Married,No formal education,Secondary,Manager,Laborer,Electrical,B.Sc,0.2,Low
Arjun Chopra,48,58,30,34,Low,Married,Graduate,Graduate,Unemployed,Manager,Biotech,B.Tech,0.8,High
Swati Chopra,41,30,83,85,High,Married,Postgraduate,No formal education,Clerk,Unemployed,ECE,M.Tech,0.25,Low
Priya Reddy,92,80,54,35,Low,Married,Postgraduate,Postgraduate,Teacher,Unemployed,IT,B.Com,0.65,Medium
Riya Iyer,22,46,95,48,High,Married,No formal education,Secondary,Clerk,Teacher,Electrical,BA,0.6000000000000001,Medium
Krishna Chopra,89,62,69,47,High,Single,Postgraduate,Secondary,Farmer,Unemployed,Civil,B.Sc,0.45,Medium
Amit Iyer,29,63,97,80,Medium,Single,Secondary,Graduate,Clerk,Manager,Mechanical,MBA,0.2,Low
Vikas Reddy,68,75,43,78,Low,Married,Primary,No formal education,Engineer,Farmer,ECE,BA,0.3,Low
Rakesh Verma,39,69,60,76,Low,Single,No formal education,Secondary,Business,Manager,IT,B.Com,0.45,Medium
Aadhya Agarwal,33,36,31,53,Medium,Married,Postgraduate,Postgraduate,Farmer,Laborer,CSE,B.Tech,0.7000000000000001,High
Prisha Bose,65,90,31,71,Medium,Single,Secondary,Graduate,Farmer,Laborer,Biotech,MBA,0.2,Low
Rahul Gupta,51,93,86,51,High,Married,Primary,Primary,Engineer,Engineer,Mechanical,BA,0.25,Low
